Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_26_950.jpg;-9.061164;0;0;0;99.66999;85.58897;0.0002336549;33.56309;4.066078E-05
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_26_991.jpg;-6.240749;0.0855546;0;0;99.67083;85.58947;0.02228626;33.08067;-0.000984979
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_040.jpg;-3.763908;0.2093967;0;0;99.67122;85.58973;0.03145453;33.11322;-0.0008217605
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_082.jpg;-1.293396;0.3329223;0;0;99.67183;85.5901;0.0450394;32.97531;-0.0009816214
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_130.jpg;0;0.488184;0;0.01856614;99.67377;85.59135;0.09077577;32.97335;-0.0007977891
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_172.jpg;0;0.6033306;0;0.05502804;99.67641;85.59307;0.153469;32.9579;-0.0006650653
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_220.jpg;0;0.7567331;0;0.07614721;99.6797;85.5952;0.2284626;32.92519;-0.0004694191
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_269.jpg;0;0.9033605;0;0.1048025;99.68785;85.60046;0.4130978;32.81792;0.0004287122
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_311.jpg;0;1;0;0.1410367;99.69461;85.60477;0.5454878;32.79081;-0.0004090295
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_352.jpg;0;1;0;0.1833223;99.70277;85.60996;0.6953121;32.65488;0.0001349329
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_401.jpg;0;1;0;0.2141003;99.71234;85.61605;0.8592077;32.57978;-0.0004576474
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_449.jpg;0;1;0;0.2449026;99.72861;85.6265;1.109297;32.68493;-0.0009613694
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_491.jpg;0;1;0;0.2882277;99.74117;85.63448;1.272613;32.60804;-9.32444E-05
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_534.jpg;0;1;0;0.3053068;99.75309;85.64208;1.337343;32.6208;-0.002714832
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_575.jpg;0;1;0;0.3853056;99.76443;85.64935;1.265971;32.61406;-0.003104972
C:\Users\Omar MOhamed\Downloads\Vision\Rover_Sim\IMG\robocam_2022_12_10_00_23_27_616.jpg;0;1;0;0.4125909;99.77648;85.65708;1.155103;32.57444;0.0003231123
