Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../images_ouput\2022_12_22_16_25_33_520.jpg;21.0;0.2;0;0.0;106.677;84.5579;359.8335;90.1267;0.0126
../images_ouput\2022_12_22_16_25_33_533.jpg;21.0;0.2;0;0.0;106.677;84.5579;359.8335;90.1267;0.0126
../images_ouput\2022_12_22_16_25_33_543.jpg;21.0;0.2;0;0.0;106.677;84.5579;359.8335;90.1307;0.0119
../images_ouput\2022_12_22_16_25_33_574.jpg;21.0;0.2;0;0.0;106.6771;84.558;359.8338;90.1484;0.0095
../images_ouput\2022_12_22_16_25_33_586.jpg;21.0;0.2;0;0.0;106.6773;84.5577;359.826;90.1931;0.0055
../images_ouput\2022_12_22_16_25_33_598.jpg;21.0;0.2;0;0.0;106.6773;84.5577;359.826;90.1931;0.0055
../images_ouput\2022_12_22_16_25_33_659.jpg;21.0;0.2;0;0.0118;106.6773;84.5582;359.8361;90.2981;0.006
../images_ouput\2022_12_22_16_25_33_677.jpg;21.0;0.2;0;0.0118;106.6773;84.5582;359.8361;90.2981;0.006
../images_ouput\2022_12_22_16_25_33_695.jpg;21.0;0.2;0;0.0118;106.6773;84.5582;359.8361;90.2981;0.006
../images_ouput\2022_12_22_16_25_33_728.jpg;21.0;0.2;0;0.0;106.6769;84.5585;359.841;90.3423;0.0129
../images_ouput\2022_12_22_16_25_33_745.jpg;21.0;0.2;0;0.0;106.677;84.5585;359.8406;90.3458;0.0121
../images_ouput\2022_12_22_16_25_33_757.jpg;21.0;0.2;0;0.0;106.677;84.5585;359.8406;90.3458;0.0121
../images_ouput\2022_12_22_16_25_33_787.jpg;21.0;0.2;0;0.0;106.6769;84.5583;359.8362;90.3697;0.0132
../images_ouput\2022_12_22_16_25_33_798.jpg;21.0;0.2;0;0.0;106.6767;84.5585;359.8391;90.3396;0.0172
../images_ouput\2022_12_22_16_25_33_809.jpg;21.0;0.2;0;0.0;106.6767;84.5585;359.8391;90.3396;0.0172
../images_ouput\2022_12_22_16_25_33_849.jpg;21.0;0.2;0;0.0;106.6771;84.5586;359.8376;90.3838;0.0089
../images_ouput\2022_12_22_16_25_33_874.jpg;21.0;0.2;0;0.0;106.677;84.5587;359.8388;90.412;0.0103
../images_ouput\2022_12_22_16_25_33_890.jpg;21.0;0.2;0;0.0;106.677;84.5587;359.8388;90.412;0.0103
../images_ouput\2022_12_22_16_25_33_905.jpg;21.0;0.2;0;0.0;106.677;84.5586;359.8358;90.357;0.0114
../images_ouput\2022_12_22_16_25_33_924.jpg;21.0;0.2;0;0.0106;106.6773;84.5587;359.8363;90.3975;0.0042
../images_ouput\2022_12_22_16_25_33_941.jpg;21.0;0.2;0;-0.0169;106.6774;84.5581;359.8215;90.3955;0.0011
../images_ouput\2022_12_22_16_25_33_953.jpg;21.0;0.2;0;-0.0169;106.6774;84.5581;359.8215;90.3955;0.0011
../images_ouput\2022_12_22_16_25_33_971.jpg;21.0;0.2;0;0.0;106.6775;84.5579;359.817;90.3791;-0.0007
../images_ouput\2022_12_22_16_25_33_992.jpg;21.0;0.2;0;0.0119;106.6775;84.5583;359.8243;90.4363;0.0009
../images_ouput\2022_12_22_16_25_34_004.jpg;21.0;0.2;0;0.0119;106.6775;84.5583;359.8243;90.4363;0.0009
../images_ouput\2022_12_22_16_25_34_018.jpg;21.0;0.2;0;0.0;106.6775;84.5585;359.8303;90.477;0.0008
../images_ouput\2022_12_22_16_25_34_037.jpg;21.0;0.2;0;0.0;106.6775;84.5587;359.8345;90.4707;0.0019
../images_ouput\2022_12_22_16_25_34_049.jpg;21.0;0.2;0;0.0;106.6775;84.5587;359.8345;90.4707;0.0019
../images_ouput\2022_12_22_16_25_34_060.jpg;21.0;0.2;0;0.0;106.6773;84.5588;359.835;90.4458;0.0066
../images_ouput\2022_12_22_16_25_34_087.jpg;21.0;0.2;0;0.0;106.6772;84.559;359.8397;90.5113;0.0088
../images_ouput\2022_12_22_16_25_34_102.jpg;21.0;0.2;0;0.0;106.6775;84.5589;359.8374;90.5535;0.0011
../images_ouput\2022_12_22_16_25_34_115.jpg;21.0;0.2;0;0.0;106.6775;84.5589;359.8374;90.5535;0.0011
